pattern,is_st_label,market_resonance_bin,event_count,unique_symbol_count,unique_event_date_count,d1_observed_count,d1_missing_count,d1_close_mean,d1_close_median,d1_close_positive_probability,d1_close_ge_1pct_probability,d1_close_ge_3pct_probability,d1_high_mean,d1_high_positive_probability,d1_open_mean,d1_open_positive_probability,d2_observed_count,d2_missing_count,d2_close_mean,d2_close_median,d2_close_positive_probability,d2_close_ge_1pct_probability,d2_close_ge_3pct_probability,d2_high_mean,d2_high_positive_probability,d2_open_mean,d2_open_positive_probability,d3_observed_count,d3_missing_count,d3_close_mean,d3_close_median,d3_close_positive_probability,d3_close_ge_1pct_probability,d3_close_ge_3pct_probability,d3_high_mean,d3_high_positive_probability,d3_open_mean,d3_open_positive_probability,d5_observed_count,d5_missing_count,d5_close_mean,d5_close_median,d5_close_positive_probability,d5_close_ge_1pct_probability,d5_close_ge_3pct_probability,d5_high_mean,d5_high_positive_probability,d5_open_mean,d5_open_positive_probability,success_to_3board_observed_count,success_to_3board_count,success_to_3board_rate,industry_joined_count,industry_join_rate
A,ST,0,1,1,1,1,0,0.012084592145015227,0.012084592145015227,1.0,1.0,0.0,0.048338368580060465,1.0,0.031722054380664666,1.0,1,0,0.048338368580060465,0.048338368580060465,1.0,1.0,1.0,0.0619335347432024,1.0,0.012084592145015227,1.0,1,0,-0.004531722054380682,-0.004531722054380682,0.0,0.0,0.0,0.052870090634441036,1.0,0.048338368580060465,1.0,1,0,0.048338368580060465,0.048338368580060465,1.0,1.0,1.0,0.0558912386706949,1.0,0.01963746223564944,1.0,1,0,0.0,1,1.0
A,ST,1-5,18,17,16,18,0,0.010818128748606949,0.010791401814741142,0.5555555555555556,0.5555555555555556,0.3888888888888889,0.03210306848064193,0.7777777777777778,-0.003643359369264212,0.3333333333333333,18,0,0.007197913288039198,0.01420312967208226,0.5555555555555556,0.5555555555555556,0.3888888888888889,0.04178290826428825,0.7222222222222222,0.012717811474790472,0.5555555555555556,18,0,0.001913460930030808,-0.005782358009145727,0.4444444444444444,0.4444444444444444,0.2777777777777778,0.034526370071970264,0.7222222222222222,0.012613194967090588,0.5,17,1,-0.0149722394142358,-0.020572450805009024,0.35294117647058826,0.23529411764705882,0.17647058823529413,0.015499694250036715,0.5294117647058824,-0.010050112953835073,0.35294117647058826,18,7,0.3888888888888889,18,1.0
A,ST,21-50,89,77,59,89,0,0.008058930556183555,0.005464480874316946,0.5280898876404494,0.449438202247191,0.3707865168539326,0.038057579290210565,0.9438202247191011,0.013801815834308836,0.7528089887640449,89,0,0.014077391363685764,0.014851485148514865,0.5955056179775281,0.5393258426966292,0.39325842696629215,0.038463613145915676,0.7303370786516854,0.009554331537270791,0.449438202247191,88,1,0.020049384800177407,0.011308458982877578,0.5681818181818182,0.5227272727272727,0.42045454545454547,0.04597916671697535,0.7272727272727273,0.01962516873063412,0.5454545454545454,89,0,0.03587313029271502,0.02180685358255441,0.5842696629213483,0.5617977528089888,0.4606741573033708,0.06251592267388793,0.6741573033707865,0.038245205184312216,0.6067415730337079,89,29,0.3258426966292135,89,1.0
A,ST,6-20,185,137,166,182,3,0.004373860617261942,0.002679931454683926,0.5164835164835165,0.41208791208791207,0.2857142857142857,0.03350156118393277,0.8791208791208791,0.009277119788343266,0.5989010989010989,179,6,0.008600795932896236,0.001547987616099089,0.5027932960893855,0.4692737430167598,0.329608938547486,0.033149800451443154,0.7318435754189944,0.00897250779521871,0.49162011173184356,180,5,0.01160491266081065,0.006579230119049373,0.5388888888888889,0.4666666666666667,0.37222222222222223,0.03623995584993935,0.6555555555555556,0.010583738946365485,0.5,179,6,0.009958138056036191,0.0,0.49162011173184356,0.43575418994413406,0.36312849162011174,0.034596029365674304,0.6201117318435754,0.007170170275344412,0.4860335195530726,182,48,0.26373626373626374,185,1.0
A,ordinary,21-50,1317,996,603,1314,3,0.008854291204541684,0.00031867431485022024,0.5,0.454337899543379,0.3866057838660578,0.06390445382179188,0.8561643835616438,0.014290999908677045,0.576103500761035,1314,3,0.004031664943764539,-0.010144794652814648,0.4269406392694064,0.3904109589041096,0.3211567732115677,0.050311143513812655,0.6270928462709284,0.0013762613487703268,0.3995433789954338,1314,3,0.00035660853676486494,-0.027644911128721805,0.4140030441400304,0.3911719939117199,0.3150684931506849,0.041002882471682205,0.5334855403348554,-0.006303161134238316,0.3515981735159817,1313,4,-0.006890654568196596,-0.040531097134870686,0.3617669459253618,0.33434881949733436,0.2863670982482864,0.02890478685201584,0.4676313785224676,-0.009935167128584676,0.3488194973343488,1314,369,0.2808219178082192,1317,1.0
A,ordinary,51+,2011,1440,557,2006,5,0.009509245624090472,0.0,0.49900299102691925,0.45363908275174475,0.38534396809571286,0.06495831539165332,0.8624127617148555,0.020502796946976543,0.6101694915254238,2005,6,0.005479685750063295,-0.010309278350515538,0.42094763092269327,0.3825436408977556,0.3206982543640898,0.05227880524888395,0.6334164588528678,0.006218823942444268,0.4094763092269327,2006,5,-0.0019174809504663732,-0.030234471410941988,0.39581256231306083,0.372382851445663,0.3135593220338983,0.040816510620198046,0.5289132602193419,-0.0025678833767575166,0.35692921236291125,2006,5,-0.0073008879346267395,-0.04300153155772696,0.35493519441674976,0.3300099700897308,0.28215353938185445,0.028061388368233537,0.45663010967098705,-0.010692672807694037,0.3369890329012961,2006,560,0.27916251246261214,2011,1.0
A,ordinary,6-20,104,98,67,104,0,0.030621135563879524,0.04452814396317217,0.6538461538461539,0.6153846153846154,0.5673076923076923,0.07410103867029752,0.9423076923076923,0.022191732051923707,0.6634615384615384,104,0,0.028392223205114704,0.007642366367765274,0.5096153846153846,0.49038461538461536,0.41346153846153844,0.07086421944973015,0.7019230769230769,0.02672064111815606,0.5288461538461539,104,0,0.02289789593207959,-0.004139632333063081,0.4807692307692308,0.4230769230769231,0.34615384615384615,0.06629481843730757,0.6057692307692307,0.018213811779216944,0.4326923076923077,104,0,0.021338429247186978,-0.022316656245587818,0.4230769230769231,0.36538461538461536,0.3076923076923077,0.05314810444527588,0.5480769230769231,0.012207764711499324,0.3942307692307692,104,37,0.3557692307692308,104,1.0
B,ST,1-5,8,8,8,8,0,0.020748954859714966,0.04941870025652828,0.625,0.625,0.625,0.029680020380060124,0.875,-0.0019078562121205844,0.5,8,0,0.014370194652321228,0.001945316482867887,0.5,0.375,0.375,0.039946854187169395,0.875,0.009876518884376531,0.625,8,0,-0.008444837695983295,-0.009156088022595321,0.5,0.375,0.25,0.01538813939300157,0.5,0.006514063559681954,0.375,8,0,-0.007777793361201227,-0.010752688172043001,0.375,0.375,0.375,0.009423873067391189,0.625,-0.012753299447480354,0.25,0,0,,8,1.0
B,ST,21-50,17,17,14,16,1,0.007806023539284369,0.011335275236398323,0.5625,0.5625,0.375,0.03318356255902448,0.8125,0.009292120416786148,0.5,17,0,-0.005531141828968653,-0.01563610518834402,0.35294117647058826,0.35294117647058826,0.29411764705882354,0.024191774388977932,0.7058823529411765,0.0039135420621156936,0.47058823529411764,17,0,-0.020086368310797777,-0.03875968992248069,0.35294117647058826,0.35294117647058826,0.23529411764705882,0.009512363470587175,0.5294117647058824,-0.012802532068653907,0.4117647058823529,17,0,-0.00887719309137609,-0.019138755980861233,0.4117647058823529,0.4117647058823529,0.29411764705882354,0.007343932836075556,0.5294117647058824,-0.007116409302752761,0.47058823529411764,0,0,,17,1.0
B,ST,6-20,49,45,48,49,0,0.0059967614884066335,0.006818181818181612,0.5306122448979592,0.4897959183673469,0.42857142857142855,0.029447585854603414,0.8775510204081632,0.0035023445964761733,0.4897959183673469,48,1,0.006516489579205653,8.929069702551251e-05,0.5,0.4583333333333333,0.375,0.03324251206490091,0.6458333333333334,0.009240480876228467,0.4791666666666667,48,1,0.009358026552980273,-0.0008726003490401868,0.4791666666666667,0.4791666666666667,0.375,0.031651067362901575,0.625,0.005746028724347177,0.5416666666666666,46,3,0.011719819967915412,0.0,0.45652173913043476,0.41304347826086957,0.32608695652173914,0.032517823086771466,0.5652173913043478,0.004684484750506494,0.41304347826086957,0,0,,49,1.0
B,ordinary,21-50,226,215,174,226,0,-0.014394912029097833,-0.04399308993251355,0.41150442477876104,0.3938053097345133,0.3495575221238938,0.028943423954327772,0.5796460176991151,-0.017413306941888765,0.3407079646017699,226,0,-0.027229372147599483,-0.04991286955584434,0.33185840707964603,0.33185840707964603,0.26548672566371684,0.017255875885400198,0.4646017699115044,-0.03009467027983512,0.3407079646017699,226,0,-0.0341652631208072,-0.06510758793811405,0.336283185840708,0.3230088495575221,0.2920353982300885,0.007770757123559866,0.42035398230088494,-0.03729276940109027,0.3141592920353982,226,0,-0.04296570592234134,-0.08348577514972977,0.3141592920353982,0.28761061946902655,0.25663716814159293,-0.010987085439599635,0.3672566371681416,-0.050951804210536265,0.2743362831858407,0,0,,226,1.0
B,ordinary,51+,210,199,166,210,0,-0.001420158689312551,-0.006265038766598396,0.48095238095238096,0.4380952380952381,0.3619047619047619,0.04520398174236382,0.6857142857142857,-0.010115520372847079,0.35714285714285715,210,0,-0.008784813999712891,-0.028712848892440856,0.38095238095238093,0.3761904761904762,0.3238095238095238,0.03648728487944892,0.5523809523809524,-0.013441502203178548,0.38571428571428573,210,0,-0.016210799263586644,-0.056218084443890926,0.3761904761904762,0.36666666666666664,0.34285714285714286,0.024887345968290394,0.44761904761904764,-0.017944861296314864,0.34285714285714286,210,0,-0.03369500120936151,-0.07562832957479493,0.32857142857142857,0.30952380952380953,0.2571428571428571,0.004427630370655487,0.38571428571428573,-0.04001358043472978,0.2904761904761905,0,0,,210,1.0
B,ordinary,6-20,9,9,9,9,0,0.023426797231373593,0.050561797752809,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.05048168708322382,0.7777777777777778,-0.00030733240492646855,0.3333333333333333,9,0,-0.00552474411499161,-0.01702877275396364,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.05681193171221689,0.6666666666666666,0.02665870600959561,0.5555555555555556,9,0,-0.012778953240693534,-0.10763888888888895,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.019722530198299244,0.3333333333333333,-0.019478430214140467,0.2222222222222222,9,0,-0.01303146631919325,-0.12063134160090183,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.016607809785168404,0.2222222222222222,-0.008531494232540134,0.2222222222222222,0,0,,9,1.0
